"id","log_time","event","source_host","source_user","destination_host","destination_user","connection_method","source_port","dest_port","success"
"1","Jul 24 05:04:24","Connection","39.156.66.10","uzjsvmpr","252.83.24.90","keuimrd","keyboard-interactive/pam","56596","22","0"
"2","Jul 24 05:04:24","Auth Failure","39.156.66.10","uzjsvmpr","252.83.24.90","keuimrd","password","56596","22","0"
"3","Jul 24 05:04:24","Session Opened","39.156.66.10","uzjsvmpr","252.83.24.90","keuimrd","unknown","56596","22","1"
"4","Jul 24 05:04:24","Session Closed","39.156.66.10","uzjsvmpr","252.83.24.90","keuimrd","unknown","56596","22","1"
"5","Jul 05 19:35:43","Connection","39.156.66.10","ygslkad","237.34.220.98","vacbu","publickey","64293","22","0"
"6","Jul 05 19:35:43","Auth Failure","39.156.66.10","ygslkad","237.34.220.98","vacbu","password","64293","22","0"
"7","Jul 05 19:35:43","Session Opened","39.156.66.10","ygslkad","237.34.220.98","vacbu","unknown","64293","22","1"
"8","Jul 05 19:35:43","Session Closed","39.156.66.10","ygslkad","237.34.220.98","vacbu","unknown","64293","22","1"
"9","Jul 17 10:24:29","Connection","39.156.66.10","mdycmtgf","17.176.68.25","kxycxv","password","46205","22","1"
"10","Jul 17 10:24:29","Session Opened","39.156.66.10","mdycmtgf","17.176.68.25","kxycxv","unknown","46205","22","1"
"11","Jul 17 10:24:29","Session Closed","39.156.66.10","mdycmtgf","17.176.68.25","kxycxv","unknown","46205","22","1"
"12","Jul 07 23:36:13","Connection","17.176.68.25","grwtw","168.75.202.173","vmrspnsie","keyboard-interactive/pam","41778","22","0"
"13","Jul 07 23:36:13","Auth Failure","17.176.68.25","grwtw","168.75.202.173","vmrspnsie","password","41778","22","0"
"14","Jul 07 23:36:13","Session Opened","17.176.68.25","grwtw","168.75.202.173","vmrspnsie","unknown","41778","22","1"
"15","Jul 07 23:36:13","Session Closed","17.176.68.25","grwtw","168.75.202.173","vmrspnsie","unknown","41778","22","1"
"16","Jul 21 12:23:46","Connection","17.176.68.25","zqcxbpmcik","198.219.221.47","aszpopf","publickey","1647","22","0"
"17","Jul 21 12:23:46","Auth Failure","17.176.68.25","zqcxbpmcik","198.219.221.47","aszpopf","password","1647","22","0"
"18","Jul 21 12:23:46","Session Opened","17.176.68.25","zqcxbpmcik","198.219.221.47","aszpopf","unknown","1647","22","1"
"19","Jul 21 12:23:46","Session Closed","17.176.68.25","zqcxbpmcik","198.219.221.47","aszpopf","unknown","1647","22","1"
"20","Jul 15 05:17:50","Connection","17.176.68.25","lnlfglja","226.39.197.3","olkcp","keyboard-interactive/pam","6522","22","0"
"21","Jul 15 05:17:50","Auth Failure","17.176.68.25","lnlfglja","226.39.197.3","olkcp","password","6522","22","0"
"22","Jul 15 05:17:50","Session Opened","17.176.68.25","lnlfglja","226.39.197.3","olkcp","unknown","6522","22","1"
"23","Jul 15 05:17:50","Session Closed","17.176.68.25","lnlfglja","226.39.197.3","olkcp","unknown","6522","22","1"
"24","Jul 07 06:43:08","Connection","17.176.68.25","yzhrztdilf","193.229.74.12","dqcsa","keyboard-interactive/pam","14212","22","0"
"25","Jul 07 06:43:08","Auth Failure","17.176.68.25","yzhrztdilf","193.229.74.12","dqcsa","password","14212","22","0"
"26","Jul 07 06:43:08","Session Opened","17.176.68.25","yzhrztdilf","193.229.74.12","dqcsa","unknown","14212","22","1"
