"id","log_time","event","source_host","source_user","destination_host","destination_user","connection_method","source_port","dest_port","success"
"1","Jul 25 02:43:17","Connection","39.156.66.10","vhehixgqew","172.214.21.139","zrubn","password","28326","22","0"
"2","Jul 25 02:43:17","Auth Failure","39.156.66.10","vhehixgqew","172.214.21.139","zrubn","password","28326","22","0"
"3","Jul 14 04:25:25","Connection","39.156.66.10","wchllurbct","251.106.58.235","knslk","keyboard-interactive/pam","13498","22","0"
"4","Jul 14 04:25:25","Auth Failure","39.156.66.10","wchllurbct","251.106.58.235","knslk","password","13498","22","0"
"5","Jul 23 08:43:11","Connection","39.156.66.10","ubnxmpqzq","216.41.186.176","tmkliusl","password","40110","22","0"
"6","Jul 23 08:43:11","Auth Failure","39.156.66.10","ubnxmpqzq","216.41.186.176","tmkliusl","password","40110","22","0"
"7","Jul 25 11:24:11","Connection","39.156.66.10","bxmnqye","90.24.188.83","ahzvprx","keyboard-interactive/pam","42531","22","0"
"8","Jul 25 11:24:11","Auth Failure","39.156.66.10","bxmnqye","90.24.188.83","ahzvprx","password","42531","22","0"
"9","Jun 28 18:23:44","Connection","39.156.66.10","itqteftrk","71.123.247.67","pisxc","password","12699","22","1"
"10","Jun 28 18:23:44","Session Opened","39.156.66.10","itqteftrk","71.123.247.67","pisxc","unknown","12699","22","1"
"11","Jun 28 18:23:44","Session Closed","39.156.66.10","itqteftrk","71.123.247.67","pisxc","unknown","12699","22","1"
"12","Jul 02 20:39:52","Connection","71.123.247.67","bokcecbes","195.164.97.204","djcibyuec","password","23317","22","0"
"13","Jul 02 20:39:52","Auth Failure","71.123.247.67","bokcecbes","195.164.97.204","djcibyuec","password","23317","22","0"
"14","Jul 15 07:45:04","Connection","71.123.247.67","stujkzn","231.206.214.134","dievkw","keyboard-interactive/pam","11406","22","0"
"15","Jul 15 07:45:04","Auth Failure","71.123.247.67","stujkzn","231.206.214.134","dievkw","password","11406","22","0"
"16","Jul 14 21:44:59","Connection","71.123.247.67","pzsvvoncoi","216.184.227.85","oteabq","keyboard-interactive/pam","60888","22","0"
"17","Jul 14 21:44:59","Auth Failure","71.123.247.67","pzsvvoncoi","216.184.227.85","oteabq","password","60888","22","0"
"18","Jul 14 05:58:05","Connection","71.123.247.67","kokfk","43.217.120.220","ydarguxan","password","20926","22","0"
"19","Jul 14 05:58:05","Auth Failure","71.123.247.67","kokfk","43.217.120.220","ydarguxan","password","20926","22","0"
"20","Jul 05 08:43:50","Connection","71.123.247.67","pzytrttje","131.254.96.133","yvwzzqtk","publickey","14868","22","0"
"21","Jul 05 08:43:50","Auth Failure","71.123.247.67","pzytrttje","131.254.96.133","yvwzzqtk","password","14868","22","0"
"22","Jul 04 22:00:34","Connection","71.123.247.67","mpary","74.107.149.95","jgnwzpki","keyboard-interactive/pam","50484","22","0"
"23","Jul 04 22:00:34","Auth Failure","71.123.247.67","mpary","74.107.149.95","jgnwzpki","password","50484","22","0"
"24","Jul 06 19:27:01","Connection","71.123.247.67","faxnt","125.16.201.152","imhqwwk","publickey","19758","22","1"
"25","Jul 06 19:27:01","Session Opened","71.123.247.67","faxnt","125.16.201.152","imhqwwk","unknown","19758","22","1"
